Name,Map Location,Map Location Type,Date First Reported,Date Last Update,Original Location,Agency,Incident Class,Technology,Abuser Name(s) & Title(s),Abuse Type / Severity,Storyline / Alarming Details,Outcome / Current Status,Seed Status,Source URL 1,Source URL 2,Source URL 3,Source URL 4,Source URL 5
"2026-06-07 | San Diego, CA | Wrongful jail from false association — Critical","San Diego, CA",City / regional,2026-06-07,2026-06-07,"San Diego, CA",San Diego-area law enforcement,Technical / data error,Flock,N/A — technical/investigative failure,Wrongful jail from false association — Critical,A Flock hit helped link an innocent man to a violent crime even though reporting placed him miles away. The mistaken association contributed to him spending about a month in jail.,Case became a prominent wrongful-identification example; source reports the man was released after the error was established.,Thread,https://timesofsandiego.com/crime/2026/06/07/a-flock-license-plate-reader-linked-a-san-diego-man-to-a-violent-crime-he-was-five-miles-away/,,,,
"2026-07-08 | Plymouth, MN | False stolen-vehicle alert / armed-stop risk — Critical","Plymouth Police Department, Plymouth, MN",Police department,2026-07-08,2026-07-29,"Plymouth, MN",Plymouth Police Department / Flock network,Technical / data error,Flock,N/A — technical + human data-entry error,False stolen-vehicle alert / armed-stop risk — Critical,A stolen-plate data error made Flock treat a legitimately driven vehicle as stolen across a network. Police tracked the driver for days and four officers boxed the vehicle in; reporting emphasized how a simple input error propagated through automated alerts.,Driver was cleared. Follow-up reporting examined systemic safeguards; Flock said the cameras worked as designed and pointed to the need for human verification.,Thread,https://www.thedrive.com/news/how-flock-cameras-wrongly-tracked-me-for-days-over-stolen-plates-and-sent-police-after-me,https://www.thedrive.com/news/inside-the-flock-dragnet-how-systemic-errors-led-to-police-ambushing-me-for-no-reason,https://www.thedrive.com/podcast/flocks-ceo-wants-zero-wrongful-stops-i-wasnt-the-first,,
"2026-07-15 | Los Angeles, CA | False stolen-car hits / dangerous stops — Critical","Los Angeles Police Department Headquarters, Los Angeles, CA",Police department,2026-07-15,2026-07-15,"Los Angeles, CA",Los Angeles Police Department,Technical / data error,ALPR / Flock-related ecosystem,N/A — technical/verification failure,False stolen-car hits / dangerous stops — Critical,"Reporting found LAPD repeatedly stopped innocent drivers after license-plate-reader systems flagged vehicles as stolen when they were not, exposing people to high-risk police encounters caused by bad or stale data.",LAPD's Flock contract later expired; reporting said error concerns were among the issues surrounding the program.,Thread,https://www.404media.co/lapd-regularly-pulled-over-innocent-people-because-license-plate-readers-flagged-their-cars-as-stolen/,,,,
"2026-07-16 | Volusia County, FL | Wrongful arrest and 13-day jail — Critical","Volusia County, FL",County / regional,2026-07-16,2026-07-16,"Volusia County, FL",Volusia County law enforcement,Technical / data error,Flock / ALPR,N/A — technical/investigative failure,Wrongful arrest and 13-day jail — Critical,An innocent 23-year-old was jailed for 13 days after investigators associated her Dodge Durango with a fatal-crash vehicle using plate/vehicle surveillance evidence; the case illustrates how a weak vehicle match can harden into an arrest.,Released after the mistaken identification was resolved; case cited as a severe ALPR false-positive harm.,Thread,https://www.motorbiscuit.com/innocent-23-year-old-jailed-for-fatal-crash-because-she-drove-a-dodge-durango/,,,,
2026-07-18 | Columbine Valley / Colorado | False package-theft accusation — High,"Columbine Valley, CO",City / regional,2026-07-18,2026-07-18,Columbine Valley / Colorado,Local law enforcement / Flock network,Technical / data error,Flock,N/A — technical/investigative failure,False package-theft accusation — High,A Flock-driven lead helped focus suspicion on an innocent motorist in a package-theft investigation; the story emphasizes how plate-reader hits can be treated as guilt rather than merely an investigative lead.,Individual cleared; public reporting criticized the 'guilty until proven innocent' dynamic.,Thread,https://www.yahoo.com/news/us/articles/guilty-until-proven-innocent-flock-153552327.html,,,,
"2026-07-24 | York County, SC | Incorrect stolen-vehicle hit / gunpoint detention — Critical","York County Sheriff's Office, York County, SC",Sheriff's office,2026-07-24,2026-07-24,"York County, SC",York County Sheriff's Office,Technical / data error,Flock,N/A — technical/verification failure,Incorrect stolen-vehicle hit / gunpoint detention — Critical,"A driver said deputies held him at gunpoint after an incorrect Flock stolen-vehicle alert; the sheriff attributed the bad read to an illegal tag cover, but the encounter illustrates the danger of acting on an alert before reliable verification.",Civil litigation/public dispute followed; driver was not the stolen-vehicle suspect.,Thread,https://bit.ly/3TaVq6f,,,,
"2026-07-28 | Oak Park, IL / nationwide context | High false-alert / misread rate — Critical","Oak Park Police Department, Oak Park, IL",Police department,2026-07-28,2026-07-28,"Oak Park, IL / nationwide context",Oak Park Police Department / Flock,Technical / data error,Flock,N/A — technical/systemic issue,High false-alert / misread rate — Critical,Reporting on Flock plate misreads highlighted a local review in which a large share of stops were tied to errors; the thread notes Oak Park ended its contract after finding roughly 40% of reviewed stops were mistakes.,Contract ended according to the thread-linked reporting; broader article called for stronger verification safeguards.,Thread,https://www.gadgetreview.com/when-ai-cameras-misread-a-plate-innocent-families-pay-the-price,,,,
"2026-07-31 | Roseville, CA | Very high alert misread rate — Critical","Roseville Police Department, Roseville, CA",Police department,2026-07-31,2026-07-31,"Roseville, CA",Roseville Police Department,Technical / data error,Flock,N/A — technical/systemic issue,Very high alert misread rate — Critical,"Business Insider reported that 71% of 1,427 reviewed Flock alerts were misreads in Roseville, a rate that can create repeated opportunities for innocent motorists to be stopped or investigated.",Finding prompted scrutiny of accuracy and verification; no individual employee discipline.,Thread,https://www.businessinsider.com/flock-camera-misread-license-plate-reader-california-roseville-police-2026-7,,,,
"2026-08-07 | Brookfield, WI | Wrong-vehicle homicide stop — Critical","Brookfield Police Department, Brookfield, WI",Police department,2026-08-07,2026-08-07,"Brookfield, WI",Brookfield Police Department,Technical / data error,Flock,N/A — technical/verification failure,Wrong-vehicle homicide stop — Critical,"A Flock alert contributed to police stopping the wrong vehicle/person in connection with a homicide investigation, demonstrating the stakes of false matches or insufficient human verification.",Mistake acknowledged and person cleared; incident prompted scrutiny of verification practices.,Thread,https://www.fox6now.com/news/brookfield-police-stop-wrong-vehicle-after-flock-camera-error,,,,
"2026-08-08 | Cumberland, RI | Misidentification leading to arrest — Critical","Cumberland Police Department, Cumberland, RI",Police department,2026-08-08,2026-08-08,"Cumberland, RI",Cumberland Police Department,Technical / data error,Flock,N/A — technical/investigative failure,Misidentification leading to arrest — Critical,"A woman alleged a Flock misidentification led police to arrest her, converting an automated plate/vehicle inference into a deprivation of liberty. The case became a civil-rights lawsuit.",Civil lawsuit filed challenging the arrest and use/verification of the Flock result.,Thread,https://www.providencejournal.com/story/news/politics/courts/2026/08/08/flock-camera-lawsuit-cumberland-rhode-island-woman-says-camera-misidentified-her-leading-to-arrest/91218705007/,,,,
