Name,Map Location,Map Location Type,Date First Reported,Date Last Update,Original Location,Agency,Incident Class,Technology,Abuser Name(s) & Title(s),Abuse Type / Severity,Storyline / Alarming Details,Outcome / Current Status,Seed Status,Source URL 1,Source URL 2,Source URL 3,Source URL 4,Source URL 5
"2025-05-29 | Johnson County, TX | Reproductive-health surveillance — Critical","Johnson County Sheriff's Office, Johnson County, TX",Sheriff's office,2025-05-29,2025-10-07,"Johnson County, TX",Johnson County Sheriff's Office,Institutional / policy violation,Flock,N/A — institutional use,Reproductive-health surveillance — Critical,A Texas officer used nationwide Flock access to locate a woman who had self-managed an abortion. Officials initially framed the search as a safety check; later court records showed investigators also considered whether a crime had occurred.,Reporting prompted national scrutiny. Flock later restricted cross-state access in several states; the story also contributed to congressional/state scrutiny of abortion-related ALPR searches.,Thread,https://www.404media.co/a-texas-cop-searched-license-plate-cameras-nationwide-for-a-woman-who-got-an-abortion/,https://www.404media.co/police-said-they-surveilled-woman-who-had-an-abortion-for-her-safety-court-records-show-they-considered-charging-her-with-a-crime/,https://www.404media.co/flock-removes-states-from-national-lookup-tool-after-ice-and-abortion-searches-revealed/,,
2025-08-25 | Illinois — statewide | Unauthorized federal data access — Critical,Illinois,Statewide,2025-08-25,2025-08-25,Illinois — statewide,Illinois Secretary of State / Flock Safety,Institutional / policy violation,Flock,N/A — institutional/vendor failure,Unauthorized federal data access — Critical,A state audit found U.S. Customs and Border Protection had access to Illinois license-plate-reader data despite state-law restrictions. Illinois said Flock lacked safeguards and that a federal pilot had created improper access.,Illinois ordered the access shut off; Flock paused federal pilot programs nationwide while reviewing safeguards.,Added — major omission,https://www.ilsos.gov/news/2025/august-25-2025-giannoulias-audit-finds-license-plate-reader-company-in-violation-of-state-law.html,,,,
"2026-02-02 | Lenexa, KS | Political/retaliatory surveillance; wrong target — High","Lenexa Police Department, Lenexa, KS",Police department,2026-02-02,2026-02-02,"Lenexa, KS",Lenexa Police Department,Institutional / policy violation,Flock / ALPR,N/A — institutional investigation,Political/retaliatory surveillance; wrong target — High,"Police used ALPR data while investigating a local columnist after a critical column tied to an ICE-related controversy. Reporting said officers investigated the wrong man and no charge resulted, raising First Amendment/retaliation concerns.",No charge against the writer; reporting triggered scrutiny of the department's use of surveillance against a critic.,Thread,https://www.kcur.org/politics-elections-and-government/2026-02-02/lenexa-police-investigated-column-writer-critical-failure-warn-ice-raid-councilwoman-investigation,,,,
"2026-02-04 | Mountain View, CA | Unauthorized federal data access — Critical","Mountain View Police Department, Mountain View, CA",Police department,2026-02-04,2026-03-01,"Mountain View, CA",Mountain View Police Department / City of Mountain View,Institutional / policy violation,Flock,N/A — institutional/vendor access,Unauthorized federal data access — Critical,"City audit found federal agencies could access local ALPR data in ways city officials said they had not knowingly authorized, undercutting local restrictions on data sharing.","City first suspended the cameras and then terminated its Flock contract on Feb. 25, 2026.",Added — major omission,https://ca.cair.com/press-release/cair-sfba-welcomes-mountain-views-suspension-of-flock-safety-alpr-cameras-over-unauthorized-data-access/,https://www.mountainview.gov/Home/Components/News/News/1211/284,https://localnewsmatters.org/2026/03/01/mountain-view-ends-flock-safety-license-plate-reader-contract/,,
"2026-03-13 | Tulsa, OK | Protest / First Amendment surveillance — High","Tulsa Police Department, Tulsa, OK",Police department,2026-03-13,2026-03-13,"Tulsa, OK",Tulsa Police Department,Institutional / policy violation,Flock,N/A — institutional use,Protest / First Amendment surveillance — High,"Public records showed Flock searches tied to protest activity, illustrating use of plate-reader data to identify or follow people connected to political demonstrations rather than a conventional crime investigation.",Triggered public scrutiny and debate over protest surveillance; no individual officer discipline was identified in the source.,Thread,https://journalrecord.com/2026/03/13/tulsa-police-flock-cameras-protests-2025/,,,,
"2026-03-26 | Coffee County, GA | Mission creep / minor traffic enforcement — Medium","Coffee County, GA",County / regional,2026-03-26,2026-03-26,"Coffee County, GA",Georgia State Patrol / local Flock network,Institutional / policy violation,Flock,N/A — institutional use,Mission creep / minor traffic enforcement — Medium,"A traffic citation explicitly stated that the alleged cellphone violation had been captured by a Flock camera, showing the network being used for ordinary traffic enforcement beyond the serious-crime use cases commonly emphasized by agencies.",Public exposure prompted criticism over mission creep; no personnel outcome was reported.,Thread,https://www.404media.co/police-used-flock-to-give-a-man-a-traffic-ticket/,,,,
2026-04-24 | Florida — statewide / multiple agencies | Protest surveillance — High,Florida,Statewide,2026-04-24,2026-04-24,Florida — statewide / multiple agencies,Florida law enforcement agencies,Institutional / policy violation,Flock,N/A — institutional use,Protest surveillance — High,"Reporting documented use of Flock cameras to track vehicles associated with 'No Kings' protesters, raising concerns that a criminal-investigation tool was being used to map political activity.",Public disclosure prompted civil-liberties criticism; no named employee discipline was identified in the source.,Thread,https://www.pnj.com/story/news/crime/2026/04/24/florida-police-used-flock-cameras-to-track-no-kings-protesters/89749947007/,,,,
"2026-05-31 | Dayton, OH | Immigration enforcement / data-sharing — Critical","Dayton Police Department, Dayton, OH",Police department,2026-05-31,2026-06-30,"Dayton, OH",Dayton Police Department,Institutional / policy violation,Flock,N/A — institutional/data-sharing failure,Immigration enforcement / data-sharing — Critical,"Dayton said its Flock data had been queried thousands of times for immigration-enforcement purposes despite local assurances that such access would be restricted; the thread cites more than 7,000 searches.",City suspended the license-plate-reader program while reviewing the 'egregious' sharing violations and access controls.,Thread,https://www.daytondailynews.com/local/dayton-suspends-license-plate-readers-says-data-used-for-immigration-enforcement/article_14a3f629-ac59-57cd-91e8-c53ed5619971.html,,,,
"2026-06-26 | Syracuse, NY | Continued operation after authorization revoked — High","Syracuse Police Department, Syracuse, NY",Police department,2026-06-26,2026-07-08,"Syracuse, NY",Syracuse Police Department / City of Syracuse,Institutional / policy violation,Flock,N/A — institutional use,Continued operation after authorization revoked — High,"A city law required Flock readers to be removed by May 26, but police continued using them for nearly a month after the authorization had been revoked; the cameras were still physically in place.",Police unplugged the readers June 18; Flock later removed them. The city continued moving toward replacement technology.,Thread,https://centralcurrent.org/syracuse-police-used-flock-safety-readers-for-nearly-a-month-after-readers-were-supposed-to-be-taken-down/,https://centralcurrent.org/state-lawmaker-pam-hunter-pushing-to-regulate-license-plate-reader-surveillance/,,,
"2026-07-20 | Twin Cities metro, MN | Immigration enforcement / cross-agency access — Critical","Minneapolis-Saint Paul, MN",Metro / regional,2026-07-20,2026-07-20,"Twin Cities metro, MN",Multiple Minnesota law-enforcement agencies,Institutional / policy violation,Flock,N/A — interagency/federal access,Immigration enforcement / cross-agency access — Critical,"Reporting found local Flock data remained accessible through law-enforcement partnerships and was searched for immigration purposes during a federal enforcement surge, despite local sensitivity around immigration cooperation.",Prompted scrutiny of sharing settings and agency controls; no single employee discipline was identified.,Thread,https://www.startribune.com/police-search-immigration-twin-cities-flock-license-plate-cameras-ice-dhs-metro-surge/601807825,,,,
"2026-07-21 | Chetek, WI | Installation without elected-official notice — High","Chetek Police Department, Chetek, WI",Police department,2026-07-21,2026-07-21,"Chetek, WI",Chetek Police Department / City of Chetek,Institutional / policy violation,Flock,N/A — institutional procurement/governance,Installation without elected-official notice — High,"Local officials said Flock cameras had been installed without the mayor/city council being properly informed, raising governance, procurement and public-notice concerns around a surveillance network.",City-level controversy and review; no named employee abuse established in the source.,Thread,https://www.wiproud.com/news/local-news/police-department-under-fire-after-installing-flock-cameras-without-informing-the-city/,,,,
"2026-07-21 | Fresno, CA | Audit/oversight gap — High","Fresno Police Department, Fresno, CA",Police department,2026-07-21,2026-07-21,"Fresno, CA",Fresno Police Department,Institutional / policy violation,Flock,N/A — oversight failure,Audit/oversight gap — High,"Police made thousands of Flock searches per month, while reporting said the audit process reviewed only a tiny sample—three searches—creating a substantial detection gap for misuse.",Triggered criticism of audit design and calls for stronger oversight; no individual abuse finding in this article.,Thread,https://gvwire.com/2026/07/21/fresno-police-make-monthly-flock-searches-by-the-thousands-audit-looks-at-only-3/,,,,
"2026-07-21 | Beavercreek, OH | Immigration / unspecified search purposes — High","Beavercreek Police Department, Beavercreek, OH",Police department,2026-07-21,2026-07-21,"Beavercreek, OH",Beavercreek Police Department,Institutional / policy violation,Flock,N/A — institutional use,Immigration / unspecified search purposes — High,"Public-record reporting found camera searches connected to immigration and entries with vague or unspecified reasons, illustrating weak purpose controls over a location-history database.",Public scrutiny; no named employee discipline identified.,Thread,https://www.daytondailynews.com/community/beavercreek/beavercreek-flock-cameras-used-for-immigration-unspecified-reasons/article_30ef119c-0632-5c76-8a70-faca913ac5d4.html,,,,
"2026-08-06 | San Mateo County, CA | Policy noncompliance / weak auditing — High","San Mateo County, CA",County / regional,2026-08-06,2026-08-06,"San Mateo County, CA",Multiple San Mateo County police agencies,Institutional / policy violation,ALPR / Flock among systems,N/A — institutional oversight,Policy noncompliance / weak auditing — High,"A civil grand jury found many local agencies were not consistently following their own license-plate-reader policies, highlighting gaps between written safeguards and actual practice.",Grand jury recommendations called for tighter policy compliance and oversight; no single employee abuser identified.,Thread,https://padailypost.com/2026/08/06/grand-jury-finds-many-police-agencies-arent-following-their-own-policies-when-it-comes-to-license-plate-reading-cameras/,,,,
"2026-08-08 | Chandler, AZ | Employee misuse + program termination — High","Chandler Police Department, Chandler, AZ",Police department,2026-08-08,2026-08-08,"Chandler, AZ",Chandler Police Department / City of Chandler,Institutional / policy response,Flock,N/A — institutional response to employee misuse,Employee misuse + program termination — High,"City moved to end/curtail Flock use following employee-misuse concerns, showing how internal-abuse findings can trigger a jurisdiction-wide reassessment even when the public story does not identify a single named abuser.",Chandler moved to end the camera program/contract according to reporting.,Thread,https://tucson.com/news/state-regional/government-politics/article_844c9bb5-6d81-4d4c-b214-6782de52a4cd.html,,,,
